prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler
"a close-up portrait of a cat by pablo picasso, vivid, abstract art, colorful, vibrant",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,354804,1,False,autocast,png,plms
a redhead's vagina,outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,708658,1,False,autocast,png,plms
"Grand Theft Top Secret Documents, style of a Grand Theft Auto poster",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,2,0,7.5,cuda,,384485,1,False,autocast,png,plms
"Dieselpunk rodent, UHD 8K, high detail, grimey, photorealistic",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,2,0,7.5,cuda,,979135,1,False,autocast,png,plms
"cyberpunk rodent, dressed in full kit, UHD 8K, high detail, dystopian, photorealistic",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,2,0,7.5,cuda,,210730,1,False,autocast,png,plms
"cyberpunk rodent, computer hacker, dressed in full kit, 8K, high detail, dystopian, photorealistic",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,2,0,7.5,cuda,,977550,1,False,autocast,png,plms
"cyberpunk rodent, computer hacker, dressed in full kit, 8K, high detail, dystopian, photorealistic",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,2,0,7.5,cuda,,879627,1,False,autocast,png,plms
"steampunk rodent, dressed in full kit, 8K, high detail, dystopian, photorealistic",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,2,0,7.5,cuda,,486487,1,False,autocast,png,plms
"steampunk rodent, dressed in full kit, 8K, high detail, dystopian, photorealistic",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,2,0,7.5,cuda,,139035,1,False,autocast,png,plms
"clockwork automaton rodent, 8K, high detail, dystopian",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,2,0,7.5,cuda,,596286,1,False,autocast,png,plms
bird shaped like a rounded cube,outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,923564,1,False,autocast,png,plms
alien alphabet,outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,2,0,7.5,cuda,,109296,1,False,autocast,png,plms
"the end of everything, apocryphal, apocalyptic, dystopian",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,2,0,7.5,cuda,,172302,1,False,autocast,png,plms
"Dystopian cyberpunk future, small town, dirty",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,2,0,7.5,cuda,,699569,1,False,autocast,png,plms
"a close-up portrait of a cat by pablo picasso, vivid, abstract art, colorful, vibrant",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,310978,1,False,autocast,png,plms
"A wizard's tower, on a craggy cliff, near a volcano, painted style, with two suns",outputs/txt2img-samples,False,False,50,False,0.0,8,512,512,4,8,2,0,7.5,cuda,,911718,1,False,autocast,png,plms
"artificial intelligence, self-described, soft",outputs/txt2img-samples,False,False,50,False,0.0,6,512,512,4,8,3,0,7.5,cuda,,511395,1,False,autocast,png,plms
space:0.50 traveling laser cats:0.50,outputs/txt2img-samples,False,False,50,False,0.0,10,512,512,4,8,6,0,7.5,cuda,,249910,1,False,autocast,png,plms
space-faring laser cats,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1,False,autocast,png,plms
space-faring laser cats,outputs/txt2img-samples,False,False,75,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1,False,autocast,png,plms
space-faring laser cats,outputs/txt2img-samples,False,False,75,False,0.15,1,512,512,4,8,5,0,7.5,cuda,,42,1,False,autocast,png,plms
space-faring laser cats,outputs/txt2img-samples,False,False,75,False,0.15,1,512,512,4,8,5,0,8.1,cuda,,42,1,False,autocast,png,plms
space-faring laser cats,outputs/txt2img-samples,False,False,75,False,0.15,1,512,512,4,10,5,0,8.1,cuda,,42,1,False,autocast,png,plms
space-faring laser cats,outputs/txt2img-samples,False,False,75,False,0.15,1,512,512,5,8,5,0,8.1,cuda,,42,1,False,autocast,png,plms
space-faring laser cats,outputs/txt2img-samples,False,False,75,False,0.15,1,512,512,8,8,5,0,8.1,cuda,,42,1,False,autocast,png,plms
space-faring laser cats,outputs/txt2img-samples,False,False,75,False,0.15,1,512,512,8,4,5,0,8.1,cuda,,42,1,False,autocast,png,plms
space-faring laser cats,outputs/txt2img-samples,False,False,75,False,0.65,1,512,512,4,8,5,0,4.2,cuda,,42,1,False,autocast,png,plms
space-faring laser cats,outputs/txt2img-samples,False,False,99,False,0.65,1,512,512,4,8,5,0,4.2,cuda,,42,1,False,autocast,png,plms
space-faring laser cats,outputs/txt2img-samples,False,False,99,False,0.65,1,512,512,4,8,5,0,9.2,cuda,,42,1,False,autocast,png,plms
space-faring laser cats,outputs/txt2img-samples,False,False,99,False,0.81,1,512,512,4,8,5,0,9.4,cuda,,42,1,False,autocast,png,plms
space-faring laser cats,outputs/txt2img-samples,False,False,99,False,0.81,2,512,512,4,8,5,0,9.4,cuda,,42,1,False,autocast,png,plms
space-faring laser cats,outputs/txt2img-samples,False,False,99,False,0.9,1,512,512,4,8,5,0,1.4,cuda,,42,1,False,autocast,png,plms
"Mona Lisa painted as a cat, painting, style of Leonardo da Vinci",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1,False,autocast,png,plms
"Mona Lisa painted as a cat, painting, style of Leonardo da Vinci",outputs/txt2img-samples,False,False,60,False,0.31,1,512,512,4,8,5,0,4.2,cuda,,42,1,False,autocast,png,plms
"art deco, deco vector, propoganda poster, red black white, be careful",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,42,1,False,autocast,png,plms
"art deco, deco vector, propoganda poster, red black white, be careful",outputs/txt2img-samples,False,False,75,False,0.45,1,512,512,4,8,5,0,8.1,cuda,,42,1,False,autocast,png,plms
"art deco, deco vector, propoganda poster, red black white, be careful",outputs/txt2img-samples,False,False,75,False,0.45,1,2532,1170,4,8,5,0,8.1,cuda,,42,1,False,autocast,png,plms
"art deco, deco vector, propoganda poster, red black white, be careful",outputs/txt2img-samples,False,False,75,False,0.45,1,1266,585,4,8,5,0,8.1,cuda,,42,1,False,autocast,png,plms
"art deco, deco vector, propoganda poster, red black white, be careful",outputs/txt2img-samples,False,False,99,False,0.82,1,512,512,4,8,5,0,9.9,cuda,,42,1,False,autocast,png,plms
"art deco, deco vector, propoganda poster, red black white, be careful",outputs/txt2img-samples,False,False,99,False,0.82,1,512,512,4,8,10,0,9.9,cuda,,666,1,False,autocast,png,plms
"a cat, painted like the mona lisa, leonardo davinci, oil painting on canvas",outputs/txt2img-samples,False,False,75,False,0.66,1,512,512,4,8,10,0,7.1,cuda,,42,1,False,autocast,png,plms
"art deco, vector style, propaganda poster, pro America, world war 3",outputs/txt2img-samples,False,False,80,False,0.76,2,512,512,4,8,20,0,7.6,cuda,,42,1,False,autocast,png,plms
